FIPStxt,Stabr,Area_name,POVALL_2019,,,,,,,,,,,,,,,,,,,,,,,,,,
02068,AK,Denali Borough,132,,,,,,,,,,,,,,,,,,,,,,,,,,
02070,AK,Dillingham Census Area,883,,,,,,,,,,,,,,,,,,,,,,,,,,
02090,AK,Fairbanks North Star Borough,"6,656",,,,,,,,,,,,,,,,,,,,,,,,,,
02100,AK,Haines Borough,247,,,,,,,,,,,,,,,,,,,,,,,,,,
02105,AK,Hoonah-Angoon Census Area,336,,,,,,,,,,,,,,,,,,,,,,,,,,
02110,AK,Juneau Borough,"1,951",,,,,,,,,,,,,,,,,,,,,,,,,,
02122,AK,Kenai Peninsula Borough,"5,966",,,,,,,,,,,,,,,,,,,,,,,,,,
02130,AK,Ketchikan Gateway Borough,"1,283",,,,,,,,,,,,,,,,,,,,,,,,,,
02150,AK,Kodiak Island Borough,909,,,,,,,,,,,,,,,,,,,,,,,,,,
02158,AK,Kusilvak Census Area,"2,217",,,,,,,,,,,,,,,,,,,,,,,,,,
02164,AK,Lake and Peninsula Borough,275,,,,,,,,,,,,,,,,,,,,,,,,,,
02170,AK,Matanuska-Susitna Borough,"10,142",,,,,,,,,,,,,,,,,,,,,,,,,,
02180,AK,Nome Census Area,"2,033",,,,,,,,,,,,,,,,,,,,,,,,,,
02185,AK,North Slope Borough,"1,109",,,,,,,,,,,,,,,,,,,,,,,,,,
02188,AK,Northwest Arctic Borough,"1,805",,,,,,,,,,,,,,,,,,,,,,,,,,
02195,AK,Petersburg Borough,219,,,,,,,,,,,,,,,,,,,,,,,,,,
02198,AK,Prince of Wales-Hyder Census Area,"1,085",,,,,,,,,,,,,,,,,,,,,,,,,,
02220,AK,Sitka Borough,672,,,,,,,,,,,,,,,,,,,,,,,,,,
02230,AK,Skagway Municipality,47,,,,,,,,,,,,,,,,,,,,,,,,,,
02240,AK,Southeast Fairbanks Census Area,823,,,,,,,,,,,,,,,,,,,,,,,,,,
02261,AK,Valdez-Cordova Census Area,781,,,,,,,,,,,,,,,,,,,,,,,,,,
02275,AK,Wrangell City and Borough,240,,,,,,,,,,,,,,,,,,,,,,,,,,
02282,AK,Yakutat Borough,85,,,,,,,,,,,,,,,,,,,,,,,,,,
02290,AK,Yukon-Koyukuk Census Area,"1,266",,,,,,,,,,,,,,,,,,,,,,,,,,
04001,AZ,Apache ,"23,680",,,,,,,,,,,,,,,,,,,,,,,,,,
04003,AZ,Cochise ,"20,172",,,,,,,,,,,,,,,,,,,,,,,,,,
04005,AZ,Coconino ,"20,817",,,,,,,,,,,,,,,,,,,,,,,,,,
04007,AZ,Gila ,"11,219",,,,,,,,,,,,,,,,,,,,,,,,,,
04009,AZ,Graham ,"7,207",,,,,,,,,,,,,,,,,,,,,,,,,,
04011,AZ,Greenlee ,876,,,,,,,,,,,,,,,,,,,,,,,,,,
04012,AZ,La Paz ,"4,593",,,,,,,,,,,,,,,,,,,,,,,,,,
04013,AZ,Maricopa ,"539,670",,,,,,,,,,,,,,,,,,,,,,,,,,
04015,AZ,Mohave ,"33,183",,,,,,,,,,,,,,,,,,,,,,,,,,
